key,latitude,longitude
Jeor_Mormont-1,76.17449795,-99.53613281
Jeor_Mormont-1,74.36667479,-96.87011719
Jeor_Mormont-1,74.62510096,-125.0830078
Jeor_Mormont-1,76.36226182,-117.6855469
Jeor_Mormont-1,76.59854507,-112.3828125
Robert_Baratheon-1,74.36667479,-96.87011719
Robert_Baratheon-1,74.62510096,-125.0830078
Robert_Baratheon-1,74.05579888,-140.2880859
Robert_Baratheon-1,71.20191973,-153.8232422
Robert_Baratheon-1,64.86760782,-151.7138672
Robert_Baratheon-1,65.92855384,-158.1298828
Robert_Baratheon-1,59.73425345,-162.3486328
Robert_Baratheon-1,53.8784404,-153.4716797
Robert_Baratheon-1,46.34692761,-161.0302734
Robert_Baratheon-1,43.61221677,-158.1298828
Robert_Baratheon-1,45.61403741,-144.5947266
Robert_Baratheon-1,40.68063803,-136.3330078
Robert_Baratheon-1,38.3072,-133.96
Robert_Baratheon-1,35.9958,-139.058
Robert_Baratheon-1,33.46810796,-144.6826172
Robert_Baratheon-1,35.53222623,-147.7587891
Robert_Baratheon-1,35.38904997,-150.6591797
Robert_Baratheon-1,33.32134853,-157.8662109
Robert_Baratheon-1,29.68805275,-157.9101563
Robert_Baratheon-1,26.62781823,-155.4492188
Robert_Baratheon-1,26.90247689,-149.8242188
Robert_Baratheon-1,29.80251791,-143.1884766
Robert_Baratheon-1,32.6579,-137.563
Robert_Baratheon-1,35.066,-130.62
Robert_Baratheon-1,31.4662,-129.038
Robert_Baratheon-1,27.5667,-134.136
Robert_Baratheon-1,26.15543797,-147.3632813
Robert_Baratheon-1,24.046464,-148.3300781
Robert_Baratheon-1,22.39071392,-146.3525391
Robert_Baratheon-1,16.46769475,-152.6806641
Robert_Baratheon-1,5.834616166,-159.0966797
Robert_Baratheon-1,6.184246161,-152.3291016
Robert_Baratheon-1,-4.696879027,-155.9326172
Robert_Baratheon-1,-7.580327791,-155.8007813
Robert_Baratheon-1,-6.140554782,-144.9902344
Robert_Baratheon-1,-4.521666343,-139.2773438
Robert_Baratheon-1,-3.688855143,-127.8955078
Robert_Baratheon-1,6.27162,-125.435
Robert_Baratheon-1,2.24064,-112.119
Robert_Baratheon-1,-4.346411275,-104.4287109
Robert_Baratheon-1,-3.864254616,-89.31152344
Robert_Baratheon-1,5.222246513,-84.91699219
Robert_Baratheon-1,9.145486056,-87.37792969
Robert_Baratheon-1,13.45373721,-83.42285156
Robert_Baratheon-1,19.68397024,-81.31347656
Robert_Baratheon-1,25.12539261,-82.45605469
Robert_Baratheon-1,18.02052766,-93.09082031
Robert_Baratheon-1,18.93746443,-97.66113281
Robert_Baratheon-1,17.7696,-100.693
Robert_Baratheon-1,19.0206,-101.748
Robert_Baratheon-1,20.3858,-92.5635
Robert_Baratheon-1,30.1071,-78.5889
Robert_Baratheon-1,32.5468,-77.8418
Robert_Baratheon-1,32.6949,-87.2021
Robert_Baratheon-1,36.3859,-80.5225
Robert_Baratheon-1,43.3571,-80.7422
Robert_Baratheon-1,48.9225,-83.335
Robert_Baratheon-1,49.6392,-106.7139
Robert_Baratheon-1,48.3416,-110.5371
Robert_Baratheon-1,43.0368,-117.7
Robert_Baratheon-1,43.73935208,-119.8974609
Robert_Baratheon-1,53.8784404,-113.3056641
Robert_Baratheon-1,50.81981826,-111.1962891
Robert_Baratheon-1,52.24125615,-100.1220703
Robert_Baratheon-1,58.28639548,-96.60644531
Robert_Baratheon-1,57.35023748,-84.47753906
Robert_Baratheon-1,59.62332522,-90.234375
Robert_Baratheon-1,65.71255746,-93.88183594
Robert_Baratheon-1,67.50856836,-82.98339844
Robert_Baratheon-1,71.34301347,-80.30273438
Robert_Baratheon-1,72.90672343,-82.58789063
Robert_Baratheon-1,76.47577254,-78.046875
Robert_Baratheon-1,77.76758238,-80.94726563
Robert_Baratheon-1,78.59529919,-88.06640625
Robert_Baratheon-1,77.7861905,-91.66992188
Robert_Baratheon-1,75.58493741,-90.43945313
Robert_Baratheon-1,74.18805166,-87.01171875
Robert_Baratheon-1,73.35305494,-95.94726563
